county,code,white_pop,rank
"Cumberland County, NC",37051,"166,292",308
"Lafayette Parish, LA",22055,"164,408",309
"Outagamie, WI",55087,"164,096",310
"Sangamon County, IL",17167,"163,815",311
"Clay County, FL",12019,"163,638",312
"Arlington County, VA",51013,"163,181",313
"Gaston County, NC",37071,"162,526",314
"Hays County, TX",48209,"162,209",315
"Deschutes County, OR",41017,"159,574",316
"El Dorado County, CA",6017,"159,165",317
"Hernando County, FL",12053,"158,419",318
"Hall County, GA",13139,"158,201",319
"Licking County, OH",39089,"157,242",320
"Minnehaha County, SD",46099,"156,867",321
"Winnebago, WI",55139,"156,765",322
"Vanderburgh County, IN",18163,"156,287",323
"Racine, WI",55101,"156,176",324
"Shasta County, CA",6089,"155,944",325
"Ulster County, NY",36111,"155,745",326
"Brazos County, TX",48041,"155,512",327
"Merced County, CA",6047,"155,239",328
"Carroll County, MD",24013,"155,174",329
"Okaloosa County, FL",12091,"154,416",330
"Tippecanoe County, IN",18157,"154,153",331
"Anderson County, SC",45007,"153,978",332
"Beaver County, PA",42007,"153,775",333
"Sumner County, TN",47165,"153,340",334
"Porter County, IN",18127,"153,059",335
"Sarpy County, NE",31153,"152,881",336
"Charlotte County, FL",12015,"152,785",337
"Kent County, RI",44003,"152,635",338
"Champaign County, IL",17019,"150,806",339
"Benton County, WA",53005,"150,774",340
"Chatham County, GA",13051,"150,695",341
"Durham County, NC",37063,"150,067",342
"St. Clair County, MI",26147,"149,831",343
"Cass County, ND",38017,"148,944",344
"Sullivan County, TN",47163,"148,364",345
"Yuma County, AZ",4027,"147,979",346
"Jefferson County, TX",48245,"147,838",347
"Shawnee County, KS",20177,"147,823",348
"Portage County, OH",39133,"147,808",349
"Kenton County, KY",21117,"147,685",350
"Scott County, IA",19163,"146,989",351
"Saginaw County, MI",26145,"146,532",352
"Bay County, FL",12005,"146,493",353
"Chittenden County, VT",50007,"146,371",354
"Middlesex County, CT",9007,"146,228",355
"Kenosha, WI",55059,"145,980",356
"Penobscot County, ME",23019,"145,472",357
"Chesapeake Independent City, VA",51550,"145,131",358
"McLean County, IL",17113,"144,534",359
"Johnson County, TX",48251,"144,430",360
"St. Louis City County, MO",29510,"144,226",361
"Rock, WI",55105,"143,993",362
"Hampshire County, MA",25015,"142,579",363
"Johnston County, NC",37101,"142,427",364
"Franklin County, PA",42055,"142,099",365
"Monroe County, MI",26115,"142,076",366
"Cabarrus County, NC",37025,"142,064",367
"Davidson County, NC",37057,"141,859",368
"Greene County, OH",39057,"141,803",369
"Boone County, MO",29019,"141,402",370
"Yellowstone County, MT",30111,"140,985",371
"Santa Rosa County, FL",12113,"140,972",372
"Yolo County, CA",6113,"140,668",373
"Centre County, PA",42027,"140,074",374
"Merrimack, NH",33013,"140,060",375
"Jackson County, MI",26075,"139,499",376
"Calcasieu Parish, LA",22019,"139,481",377
"Kootenai County, ID",16055,"139,060",378
"Rensselaer County, NY",36083,"139,014",379
"Muskegon County, MI",26121,"138,915",380
"Mesa County, CO",8077,"138,828",381
"Washington County, UT",49053,"138,580",382
"Hendricks County, IN",18063,"138,569",383
"Stearns County, MN",27145,"138,458",384
"Onslow County, NC",37133,"138,029",385
"Peoria County, IL",17143,"137,377",386
"Harrison County, MS",28047,"136,866",387
"Schuylkill County, PA",42107,"136,781",388
"Iredell County, NC",37097,"136,625",389
"Johnson County, IN",18081,"136,509",390
"Montgomery County, TN",47125,"135,815",391
"Tolland County, CT",9013,"135,217",392
"Sussex County, NJ",34037,"134,806",393
"Berkeley County, SC",45015,"133,912",394
"Martin County, FL",12085,"133,754",395
"Fairfield County, OH",39045,"133,694",396
"Tuscaloosa County, AL",1125,"132,344",397
"Citrus County, FL",12017,"131,042",398
"Ellis County, TX",48139,"130,401",399
"Orleans Parish, LA",22071,"130,323",400
"Ector County, TX",48135,"130,130",401
"Tazewell County, IL",17179,"129,963",402
"Beaufort County, SC",45013,"129,693",403
"Monroe County, PA",42089,"129,349",404
"Cambria County, PA",42021,"129,288",405
"Midland County, TX",48329,"128,996",406
"Olmsted County, MN",27109,"127,969",407
"Washington, WI",55131,"127,480",408
"Pueblo County, CO",8101,"126,695",409
"Washington County, MD",24043,"124,903",410
"Fayette County, PA",42051,"124,542",411
"Indian River County, FL",12061,"124,489",412
"Imperial County, CA",6025,"124,349",413
"Monroe County, IN",18105,"124,252",414
"Marathon, WI",55073,"123,898",415
"Catawba County, NC",37035,"123,873",416
"Livingston Parish, LA",22063,"123,634",417
"Randolph County, NC",37151,"123,509",418
"Wright County, MN",27171,"123,077",419
"Santa Fe County, NM",35049,"122,883",420
"Chautauqua County, NY",36013,"122,325",421
"Berrien County, MI",26021,"121,439",422
"Madera County, CA",6039,"121,146",423
"DeSoto County, MS",28033,"120,860",424
"Schenectady County, NY",36093,"120,729",425
"Blair County, PA",42013,"120,688",426
"Lebanon County, PA",42075,"120,440",427
"Rock Island County, IL",17161,"120,109",428
"Caddo Parish, LA",22017,"119,554",429
"Wood County, OH",39173,"119,403",430
"Blount County, TN",47009,"118,761",431
"Scott County, MN",27139,"118,278",432
"Johnson County, IA",19103,"118,240",433
"Washington County, RI",44009,"117,729",434
"Clark County, OH",39023,"117,716",435
"Berkshire County, MA",25003,"117,656",436
"Strafford, NH",33017,"117,495",437
"Norfolk Independent City, VA",51710,"117,165",438
"Randall County, TX",48381,"116,396",439
"Aiken County, SC",45003,"115,969",440
"Kennebec County, ME",23011,"115,938",441
"Washington County, TN",47179,"115,871",442
"Parker County, TX",48367,"115,369",443
"Boone County, KY",21015,"115,329",444
"Oswego County, NY",36075,"115,260",445
"Paulding County, GA",13223,"115,242",446
"Kent County, DE",10001,"114,958",447
"Hunterdon County, NJ",34019,"114,597",448
"Rankin County, MS",28121,"114,061",449
"Madison County, IN",18095,"114,056",450
"Black Hawk County, IA",19013,"113,015",451
"Comal County, TX",48091,"112,597",452
"Wilson County, TN",47189,"111,183",453
"Calhoun County, MI",26025,"110,966",454
"Guadalupe County, TX",48187,"110,958",455
"Henry County, GA",13151,"110,858",456
"Alamance County, NC",37001,"110,548",457
"Linn County, OR",41043,"110,179",458
"Wayne County, OH",39169,"109,989",459
"Humboldt County, CA",6023,"109,778",460
"Rowan County, NC",37159,"108,360",461
"Taylor County, TX",48441,"108,142",462
"Grayson County, TX",48181,"107,803",463
"Lee County, AL",1081,"107,682",464
"La Crosse, WI",55063,"107,415",465
"Allegan County, MI",26005,"107,300",466
"Cache County, UT",49005,"107,139",467
"Pickens County, SC",45077,"107,077",468
"Lycoming County, PA",42081,"106,874",469
"Jasper County, MO",29097,"106,701",470
"Cochise County, AZ",4003,"106,136",471
"Richland County, OH",39139,"105,925",472
"Canadian County, OK",40017,"105,804",473
"La Salle County, IL",17099,"105,539",474
"Wichita County, TX",48485,"105,403",475
"Columbia County, GA",13073,"105,145",476
"Windham County, CT",9015,"105,140",477
"Orange County, NC",37135,"105,093",478
"Mercer County, PA",42085,"104,771",479
"Missoula County, MT",30063,"104,191",480
"Saline County, AR",5125,"104,154",481
"Coweta County, GA",13077,"103,978",482
"St. Lawrence County, NY",36089,"103,863",483
"Sheboygan, WI",55117,"103,755",484
"Delaware County, IN",18035,"103,243",485
"Napa County, CA",6055,"103,119",486
"Pitt County, NC",37147,"102,061",487
"Ontario County, NY",36069,"102,012",488
"Jefferson County, NY",36045,"101,957",489
"Skagit County, WA",53057,"101,897",490
"Sebastian County, AR",5131,"101,395",491
"Jackson County, MS",28059,"101,277",492
"Dorchester County, SC",45035,"101,145",493
"Henderson County, NC",37089,"101,051",494
"Kendall County, IL",17093,"100,946",495
"Kings County, CA",6031,"100,728",496
"Sumter County, FL",12119,"100,709",497
"Faulkner County, AR",5045,"100,659",498
"Clark County, IN",18019,"100,506",499
"Tom Green County, TX",48451,"100,440",500
"Bay County, MI",26017,"100,361",501
"Columbiana County, OH",39029,"100,017",502
"Douglas County, OR",41019,"99,671",503
"Brunswick County, NC",37019,"99,521",504
"Warren County, KY",21227,"99,435",505
"Cumberland County, NJ",34011,"99,295",506
"Wyandotte County, KS",20209,"99,287",507
"Androscoggin County, ME",23001,"99,069",508
"Franklin County, MO",29071,"98,344",509
"Morgan County, AL",1103,"97,880",510
"Bonneville County, ID",16019,"97,758",511
"Miami County, OH",39109,"97,723",512
"Douglas County, KS",20045,"97,456",513
"Stafford County, VA",51179,"96,726",514
"Sandoval County, NM",35043,"96,687",515
"Berkeley County, WV",54003,"96,609",516
"Walworth, WI",55127,"96,192",517
"Warren County, NJ",34041,"95,863",518
"Richmond Independent City, VA",51760,"95,796",519
"Potter County, TX",48375,"95,425",520
"Fond du Lac, WI",55039,"95,247",521
"Spotsylvania County, VA",51177,"95,246",522
"Alexandria Independent City, VA",51510,"95,026",523
"Vigo County, IN",18167,"94,538",524
"Eaton County, MI",26045,"94,521",525
"Eau Claire, WI",55035,"94,470",526
"Bradley County, TN",47011,"94,452",527
"Adams County, PA",42001,"93,855",528
"Ouachita Parish, LA",22073,"93,835",529
"Cowlitz County, WA",53015,"93,319",530
"Steuben County, NY",36101,"93,231",531
"Cass County, MO",29037,"93,058",532
"Gallatin County, MT",30031,"92,876",533
"LaPorte County, IN",18091,"92,765",534
"Monongalia County, WV",54061,"92,708",535
"Kaufman County, TX",48257,"92,578",536
"Houston County, GA",13153,"92,425",537
"Ashtabula County, OH",39007,"92,247",538
"Gregg County, TX",48183,"91,711",539
"Whitfield County, GA",13313,"91,573",540
"Lenawee County, MI",26091,"91,338",541
"Nevada County, CA",6057,"90,973",542
"Geauga County, OH",39055,"90,951",543
"Muscogee County, GA",13215,"90,769",544
"Bossier Parish, LA",22015,"90,705",545
"Yamhill County, OR",41071,"90,700",546
"Cecil County, MD",24015,"90,516",547
"Daviess County, KY",21059,"90,333",548
"Carver County, MN",27019,"90,204",549
"Newport News Independent City, VA",51700,"90,072",550
"Dubuque County, IA",19061,"89,975",551
"Tuscarawas County, OH",39157,"89,816",552
"Flathead County, MT",30029,"89,762",553
"Sevier County, TN",47155,"89,385",554
"Pennington County, SD",46103,"89,293",555
"Kankakee County, IL",17091,"89,149",556
"Northumberland County, PA",42097,"89,072",557
"Putnam County, NY",36079,"89,000",558
"Hanover County, VA",51085,"88,821",559
"Woodbury County, IA",19193,"88,291",560
"Cabell County, WV",54011,"88,036",561
"Pottawattamie County, IA",19155,"87,907",562
"DeKalb County, IL",17037,"87,701",563
"St. Mary's County, MD",24037,"87,669",564
"Marshall County, AL",1095,"87,423",565
"Coconino County, AZ",4005,"87,335",566
"Allen County, OH",39003,"87,249",567
"Cape May County, NJ",34009,"86,962",568
"Calhoun County, AL",1015,"86,777",569
"Ascension Parish, LA",22005,"86,568",570
"Montgomery County, AL",1101,"85,928",571
"Grand Traverse County, MI",26055,"85,831",572
"Campbell County, KY",21037,"85,812",573
"Hardin County, KY",21093,"85,745",574
"Carroll County, GA",13045,"85,742",575
"Wayne County, NY",36117,"85,661",576
"Harnett County, NC",37085,"85,578",577
"Sherburne County, MN",27141,"85,480",578
"Tangipahoa Parish, LA",22105,"85,433",579
"Laramie County, WY",56021,"85,228",580
"Bartow County, GA",13015,"85,010",581
"Albemarle County, VA",51003,"84,955",582
"Macon County, IL",17115,"84,943",583
"Rapides Parish, LA",22079,"84,669",584
"Lapeer County, MI",26087,"84,523",585
"Tompkins County, NY",36109,"84,196",586
"Flagler County, FL",12035,"84,152",587
