county,code,labor_force,rank
"Skagit County, WA",53057,"59,436",504
"Washington County, TN",47179,"59,402",505
"Jackson County, MS",28059,"59,121",506
"Madison County, IN",18095,"58,889",507
"Walworth, WI",55127,"58,265",508
"Hanover County, VA",51085,"58,121",509
"Linn County, OR",41043,"57,998",510
"Fayette County, PA",42051,"57,811",511
"Saline County, AR",5125,"57,787",512
"Kings County, CA",6031,"57,714",513
"Gregg County, TX",48183,"57,632",514
"Lycoming County, PA",42081,"57,623",515
"Fond du Lac, WI",55039,"57,544",516
"Eaton County, MI",26045,"57,498",517
"Fayette County, GA",13113,"57,431",518
"Story County, IA",19169,"57,279",519
"Carver County, MN",27019,"57,261",520
"Sebastian County, AR",5131,"57,210",521
"Bossier Parish, LA",22015,"56,871",522
"Platte County, MO",29165,"56,864",523
"Jasper County, MO",29097,"56,734",524
"Pickens County, SC",45077,"56,658",525
"Warren County, NJ",34041,"56,567",526
"Rapides Parish, LA",22079,"56,356",527
"Wichita County, TX",48485,"55,970",528
"Potter County, TX",48375,"55,923",529
"Kankakee County, IL",17091,"55,854",530
"Chautauqua County, NY",36013,"55,854",530
"Albemarle County, VA",51003,"55,748",532
"Pennington County, SD",46103,"55,730",533
"Androscoggin County, ME",23001,"55,700",534
"La Salle County, IL",17099,"55,642",535
"Adams County, PA",42001,"55,457",536
"St. Mary's County, MD",24037,"55,310",537
"Ontario County, NY",36069,"55,175",538
"Tangipahoa Parish, LA",22105,"55,118",539
"Carroll County, GA",13045,"55,039",540
"Delaware County, IN",18035,"55,024",541
"Morgan County, AL",1103,"54,840",542
"DeKalb County, IL",17037,"54,651",543
"Yamhill County, OR",41071,"54,567",544
"Cass County, MO",29037,"54,502",545
"Berkeley County, WV",54003,"54,471",546
"Dubuque County, IA",19061,"54,459",547
"Woodbury County, IA",19193,"54,218",548
"Tom Green County, TX",48451,"54,003",549
"Madison County, MS",28089,"53,841",550
"Craighead County, AR",5031,"53,733",551
"Miami County, OH",39109,"53,691",552
"Bonneville County, ID",16019,"53,517",553
"Wayne County, NC",37191,"53,488",554
"Oswego County, NY",36075,"53,334",555
"Henderson County, NC",37089,"53,278",556
"Richland County, OH",39139,"53,228",557
"San Juan County, NM",35045,"53,194",558
"Cecil County, MD",24015,"53,107",559
"Harnett County, NC",37085,"52,575",560
"Sevier County, TN",47155,"52,301",561
"Franklin County, MO",29071,"52,277",562
"Monongalia County, WV",54061,"52,106",563
"Lowndes County, GA",13185,"51,826",564
"Sherburne County, MN",27141,"51,601",565
"Newton County, GA",13217,"51,535",566
"Wicomico County, MD",24045,"51,488",567
"Putnam County, NY",36079,"51,333",568
"Brunswick County, NC",37019,"51,242",569
"Bay County, MI",26017,"50,995",570
"Mercer County, PA",42085,"50,990",571
"Burleigh County, ND",38015,"50,739",572
